Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,30.469999,31.260000,28.219999,29.440001,18.023182,28915000
2010-03-01,29.490000,30.360001,28.200001,29.280001,18.094006,32822600
2010-04-01,30.139999,30.750000,29.049999,30.100000,18.600739,24332800
2010-05-01,30.209999,30.290001,25.740000,27.040001,16.709763,34902100
2010-06-01,27.139999,28.830000,26.730000,26.730000,16.681154,30097400
2010-07-01,26.870001,30.260000,26.440001,28.629999,17.866867,26628500
2010-08-01,28.820000,29.400000,25.900000,26.559999,16.575062,30634900
2010-09-01,26.969999,29.480000,26.740000,29.100000,18.342278,26314100
2010-10-01,29.219999,29.629999,28.139999,29.020000,18.291851,37150600
2010-11-01,28.980000,31.459999,27.719999,27.959999,17.623714,29041700
2010-12-01,28.240000,31.070000,28.219999,30.879999,19.649878,24390500
2011-01-01,31.230000,31.230000,28.870001,29.010000,18.459938,33495100
2011-02-01,29.629999,30.100000,28.820000,29.700001,18.899004,40425100
2011-03-01,29.860001,30.790001,28.450001,30.620001,19.674658,31898900
2011-04-01,30.480000,33.020000,30.299999,32.570000,20.927610,30837900
2011-05-01,32.869999,33.060001,31.410000,32.590000,20.940456,36548400
2011-06-01,32.709999,32.770000,30.959999,32.389999,21.021791,27499600
2011-07-01,32.180000,33.400002,31.400000,32.060001,20.807611,26293400
2011-08-01,32.419998,34.549999,30.389999,33.740002,21.897966,60583700
2011-09-01,33.669998,33.990002,29.730000,31.190001,20.446924,39167700
2011-10-01,30.830000,34.279999,30.180000,33.650002,22.059601,30571300
2011-11-01,32.700001,33.950001,30.889999,33.630001,22.046488,25118300
2011-12-01,33.490002,33.669998,31.930000,33.520000,22.177248,19120100
2012-01-01,33.919998,34.259998,31.360001,32.389999,21.429628,23160200
2012-02-01,33.060001,33.230000,31.650000,32.470001,21.482559,21503600
2012-03-01,32.750000,33.430000,31.860001,33.049999,22.066282,22184200
2012-04-01,33.230000,34.740002,31.900000,34.320000,22.914219,24923900
2012-05-01,34.340000,34.770000,31.280001,31.580000,21.084822,30355600
2012-06-01,31.180000,33.990002,30.850000,33.730000,22.734072,26507100
2012-07-01,33.860001,36.130001,32.660000,35.810001,24.135994,23298300
2012-08-01,36.410000,36.509998,35.400002,35.880001,24.183172,38705000
2012-09-01,36.049999,37.389999,35.759998,36.520000,24.817152,19393600
2012-10-01,36.770000,38.040001,35.959999,37.290001,25.340401,29694300
2012-11-01,37.450001,39.029999,36.130001,38.349998,26.060738,25907200
2012-12-01,38.750000,39.549999,38.250000,38.720001,26.534988,19032800
2013-01-01,39.080002,40.759998,38.209999,40.689999,27.885042,22489900
2013-02-01,40.990002,41.060001,38.950001,39.849998,27.309385,19511600
2013-03-01,39.740002,42.520000,39.590000,42.240002,29.180012,16605400
2013-04-01,42.250000,43.500000,41.400002,43.320000,29.926098,18357800
2013-05-01,43.540001,43.880001,42.009998,42.009998,29.021120,19439900
2013-06-01,42.270000,42.500000,38.590000,40.450001,28.170467,18211100
2013-07-01,40.570000,42.680000,40.150002,40.630001,28.295815,22104200
2013-08-01,41.099998,41.509998,38.029999,38.180000,26.589573,21593300
2013-09-01,38.500000,41.869999,37.799999,38.580002,27.101461,23814100
2013-10-01,38.139999,41.090000,37.400002,40.590000,28.513443,37623000
2013-11-01,40.049999,40.830002,39.400002,40.500000,28.450203,23799300
2013-12-01,39.980000,41.230000,38.790001,41.200001,29.205563,21615800
2014-01-01,40.369999,41.770000,38.299999,38.610001,27.369581,34752900
2014-02-01,38.630001,41.430000,37.630001,41.029999,29.085047,25987200
2014-03-01,40.369999,42.840000,39.049999,42.779999,30.618206,33392200
2014-04-01,42.330002,44.830002,41.970001,44.740002,32.021015,28658600
2014-05-01,44.490002,45.950001,43.910000,44.970001,32.185631,22264000
2014-06-01,44.889999,45.939999,44.139999,45.310001,32.721111,18012900
2014-07-01,45.310001,45.990002,43.189999,43.230000,31.219006,18661000
2014-08-01,43.080002,44.080002,42.500000,44.060001,31.818411,15398800
2014-09-01,44.250000,44.959999,41.299999,41.900002,30.530863,21844900
2014-10-01,41.419998,41.490002,38.790001,40.230000,29.314007,40660300
2014-11-01,39.730000,42.389999,39.590000,42.139999,30.705750,27194300
2014-12-01,42.320000,42.540001,39.500000,40.480000,29.766369,21972900
2015-01-01,40.270000,44.689999,38.880001,43.970001,32.332684,33025800
2015-02-01,43.560001,44.369999,42.180000,44.110001,32.435635,26797600
2015-03-01,44.270000,44.389999,41.570000,41.709999,30.899530,24331900
2015-04-01,41.730000,45.310001,41.459999,43.820000,32.462666,21364400
2015-05-01,43.509998,45.029999,42.880001,44.150002,32.940754,16035400
2015-06-01,44.049999,45.250000,42.509998,42.959999,32.052883,18604300
2015-07-01,43.520000,45.639999,41.849998,45.330002,33.821144,19194400
2015-08-01,45.919998,46.189999,38.740002,40.310001,30.075691,23473100
2015-09-01,39.380001,41.419998,38.599998,40.779999,30.645878,25640800
2015-10-01,41.070000,45.910000,40.529999,44.450001,33.403858,20414100
2015-11-01,44.610001,44.740002,41.860001,42.849998,32.449570,28784600
2015-12-01,42.840000,44.049999,41.470001,43.119999,32.654041,29524000
2016-01-01,42.230000,44.279999,39.860001,44.270000,33.524921,29288500
2016-02-01,44.000000,44.570000,42.000000,42.820000,32.426849,30790300
2016-03-01,43.619999,46.209999,42.950001,45.180000,34.471592,26316400
2016-04-01,44.480000,47.900002,44.470001,44.860001,34.227440,26739700
2016-05-01,44.910000,46.529999,44.349998,45.560001,35.041336,20913500
2016-06-01,45.720001,47.930000,43.340000,47.910000,36.848785,36490900
2016-07-01,48.259998,48.290001,45.950001,46.810001,36.002743,26239500
2016-08-01,46.549999,47.349998,45.720001,46.459999,35.733543,24232400
2016-09-01,46.709999,48.970001,45.860001,47.400002,36.732422,25864000
2016-10-01,47.540001,48.310001,41.509998,41.669998,32.291973,33103700
2016-11-01,42.240002,42.290001,38.580002,39.980000,31.244471,47910200
2016-12-01,39.389999,40.959999,38.990002,40.700001,31.807150,38348000
2017-01-01,40.349998,42.619999,40.189999,41.110001,32.127571,40331400
2017-02-01,41.000000,48.820000,40.820000,47.480000,37.105736,93107300
2017-03-01,47.520000,50.610001,47.020000,49.340000,38.880230,38059300
